filename, language, CSS, JavaScript, JavaScript React, XML, comment, blank, total
c:\Users\daini\Documents\BratislavaHackathon\src\App.css, CSS, 3, 0, 0, 0, 0, 0, 3
c:\Users\daini\Documents\BratislavaHackathon\src\App.jsx, JavaScript React, 0, 0, 32, 0, 0, 3, 35
c:\Users\daini\Documents\BratislavaHackathon\src\App.test.js, JavaScript, 0, 8, 0, 0, 0, 2, 10
c:\Users\daini\Documents\BratislavaHackathon\src\components\atoms\Buttons\BaseButton.jsx, JavaScript React, 0, 0, 4, 0, 0, 2, 6
c:\Users\daini\Documents\BratislavaHackathon\src\components\atoms\Buttons\PrimaryButton.jsx, JavaScript React, 0, 0, 4, 0, 0, 2, 6
c:\Users\daini\Documents\BratislavaHackathon\src\components\atoms\DropDown\DropDown.jsx, JavaScript React, 0, 0, 15, 0, 0, 2, 17
c:\Users\daini\Documents\BratislavaHackathon\src\components\atoms\FromToFlag\FromToFlag.jsx, JavaScript React, 0, 0, 9, 0, 0, 3, 12
c:\Users\daini\Documents\BratislavaHackathon\src\components\atoms\VisaCountryInfo\VisaCountryInfo.jsx, JavaScript React, 0, 0, 39, 0, 0, 6, 45
c:\Users\daini\Documents\BratislavaHackathon\src\components\molecules\BaseCard\BaseCard.jsx, JavaScript React, 0, 0, 4, 0, 0, 2, 6
c:\Users\daini\Documents\BratislavaHackathon\src\components\molecules\VisaCard\VisaCard.jsx, JavaScript React, 0, 0, 37, 0, 0, 5, 42
c:\Users\daini\Documents\BratislavaHackathon\src\components\organisms\NavBar\NavBar.jsx, JavaScript React, 0, 0, 23, 0, 0, 5, 28
c:\Users\daini\Documents\BratislavaHackathon\src\components\pages\BasePage\BasePage.jsx, JavaScript React, 0, 0, 4, 0, 0, 2, 6
c:\Users\daini\Documents\BratislavaHackathon\src\components\pages\Form.jsx, JavaScript React, 0, 0, 9, 0, 0, 3, 12
c:\Users\daini\Documents\BratislavaHackathon\src\components\pages\HomePage\HomePage.jsx, JavaScript React, 0, 0, 92, 0, 0, 9, 101
c:\Users\daini\Documents\BratislavaHackathon\src\components\pages\ListPage\ListPage.jsx, JavaScript React, 0, 0, 23, 0, 0, 3, 26
c:\Users\daini\Documents\BratislavaHackathon\src\components\pages\VisaPage\Stepper.jsx, JavaScript React, 0, 0, 68, 0, 0, 7, 75
c:\Users\daini\Documents\BratislavaHackathon\src\components\pages\VisaPage\VisaPage.jsx, JavaScript React, 0, 0, 19, 0, 0, 8, 27
c:\Users\daini\Documents\BratislavaHackathon\src\index.css, CSS, 12, 0, 0, 0, 0, 2, 14
c:\Users\daini\Documents\BratislavaHackathon\src\index.js, JavaScript, 0, 9, 0, 0, 3, 3, 15
c:\Users\daini\Documents\BratislavaHackathon\src\logo.svg, XML, 0, 0, 0, 1, 0, 0, 1
c:\Users\daini\Documents\BratislavaHackathon\src\serviceWorker.js, JavaScript, 0, 92, 0, 0, 31, 13, 136
Total, -, 15, 109, 382, 1, 34, 82, 623
